callsite offset,dest offset,callsite vaddr,dest vaddr,callsite ELF,dest ELF
0x584, 0x520, 0x10584, 0x10520, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf
0x510, 0x204, 0x10510, 0x10204, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf
0x548, 0x2dc, 0x10548, 0x102dc, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf
0x2b8, 0x234, 0x102b8, 0x10234, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf
0x2acc, 0x2978, 0x12acc, 0x12978, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf
0x2b8, 0x234, 0x102b8, 0x10234, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf
0x2acc, 0x342c, 0x12acc, 0x1342c, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf
0x2b8, 0x264, 0x102b8, 0x10264, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf
0x2acc, 0x342c, 0x12acc, 0x1342c, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf
0x5b0, 0x1c0, 0x105b0, 0x101c0, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/arm/1-fn-ptr.elf
