callsite offset,dest offset,callsite vaddr,dest vaddr,callsite ELF,dest ELF
0x1c8,0x0,0x100001c8,0x0,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x43a8,0x0,0x100043a8,0x2c001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x43c0,0x0,0x100043c0,0x42c001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x2c18,0x0,0x10002c18,0xc07001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x43a8,0x0,0x100043a8,0x4409001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x14c,0x0,0x1000014c,0x5008001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x4468,0x0,0x10004468,0xe825001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0xc1c,0x0,0x10000c1c,0x4c0e001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x43a8,0x0,0x100043a8,0x5831001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x43a8,0x0,0x100043a8,0xe032001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x43a8,0x0,0x100043a8,0x340a001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0xa40,0x0,0x10000a40,0x4c05001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x55c,0x0,0x1000055c,0xa405001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x5dc,0x0,0x100005dc,0xf808001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x3dc,0x0,0x100003dc,0x8844001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x4494,0x0,0x10004494,0xc009001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x4060,0x0,0x10004060,0xb03e001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
0x3eec,0x0,0x10003eec,0x8c01001000000000,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/ppc64/1-fn-ptr.elf,
