callsite offset,dest offset,callsite vaddr,dest vaddr,callsite ELF,dest ELF
0x20bfc,0x20e9c,0x30bfc,0x30e9c,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf
0x1be18,0x1bee0,0x2be18,0x2bee0,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf
0x18fd4,0x190bc,0x28fd4,0x290bc,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf
0x16790,0x1a6d4,0x26790,0x2a6d4,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf
0x16818,0x1a6d4,0x26818,0x2a6d4,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf
0xc64,0x434,0x10c64,0x10434,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf
0xca8,0x4e0,0x10ca8,0x104e0,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf
0x7dc,0x5c4,0x107dc,0x105c4,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf
0x598,0x510,0x10598,0x10510,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf
0x9e20,0x10b18,0x19e20,0x20b18,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf,/home/hy/work/qemu-dev/ibresolver-v2/tests/out/riscv32/1-fn-ptr.elf
