callsite offset,dest offset,callsite vaddr,dest vaddr,callsite ELF,dest ELF
0x1f83a, 0x218e0, 0x7f8e6eda383a, 0x7f8e6eda58e0, /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2, /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0x1d348, 0x3460, 0x7f8e6eda1348, 0x7f8e6ed87460, /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2, /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0x1d450, 0x20ef0, 0x7f8e6eda1450, 0x7f8e6eda4ef0, /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2, /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0x116e9, 0xc51a0, 0x7f8e6ed956e9, 0x7f8e6ec201a0, /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2, /usr/lib/x86_64-linux-gnu/libc.so.6
0x11091, 0xa8720, 0x7f8e6ed95091, 0x7f8e6ec03720, /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2, /usr/lib/x86_64-linux-gnu/libc.so.6
0x29e66, 0x1000, 0x7f8e6eb84e66, 0x555555557000, /usr/lib/x86_64-linux-gnu/libc.so.6, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/x86_64/1-fn-ptr.elf
0x29d8e, 0x11b6, 0x7f8e6eb84d8e, 0x5555555571b6, /usr/lib/x86_64-linux-gnu/libc.so.6, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/x86_64/1-fn-ptr.elf
0x119b, 0x1149, 0x55555555719b, 0x555555557149, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/x86_64/1-fn-ptr.elf, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/x86_64/1-fn-ptr.elf
0x45493, 0x6040, 0x7f8e6eba0493, 0x7f8e6ed8a040, /usr/lib/x86_64-linux-gnu/libc.so.6, /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0x6272, 0x1210, 0x7f8e6ed8a272, 0x555555557210, /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2, /home/hy/work/qemu-dev/ibresolver-v2/tests/out/x86_64/1-fn-ptr.elf
